,Datetime,Open,High,Low,Close,Volume
138,2020-07-22T00:00:00,62.37,62.8,61.0,61.33,30482054
139,2020-07-23T00:00:00,61.17,63.63,60.8,62.87,44920975
140,2020-07-24T00:00:00,62.6,63.07,61.2,61.87,22611546
141,2020-07-27T00:00:00,62.4,63.77,60.93,62.5,39139215
142,2020-07-28T00:00:00,62.5,63.5,61.77,62.27,24585687
143,2020-07-29T00:00:00,61.53,62.47,61.37,61.73,14883656
144,2020-07-30T00:00:00,61.33,61.67,58.4,59.03,43622365
145,2020-07-31T00:00:00,59.53,59.97,58.17,58.97,41414494
146,2020-08-03T00:00:00,58.9,58.9,56.93,57.47,31446437
147,2020-08-04T00:00:00,57.53,58.3,57.2,57.97,25498635
148,2020-08-05T00:00:00,58.0,58.7,57.53,57.73,21667810
149,2020-08-06T00:00:00,57.87,58.8,57.53,58.13,19663459
150,2020-08-07T00:00:00,58.47,58.93,57.1,57.6,22270182
151,2020-08-10T00:00:00,57.73,58.47,57.47,58.07,16255605
152,2020-08-11T00:00:00,58.13,58.8,57.93,58.03,16717030
153,2020-08-12T00:00:00,58.03,58.17,57.13,57.23,21486470
154,2020-08-13T00:00:00,57.6,58.03,57.3,57.9,11778434
155,2020-08-14T00:00:00,58.33,58.33,56.37,56.53,19898132
156,2020-08-17T00:00:00,56.83,58.5,56.77,58.37,19481634
157,2020-08-18T00:00:00,58.07,58.6,57.77,58.0,13545170
158,2020-08-19T00:00:00,58.07,59.33,58.07,58.67,24451316
159,2020-08-20T00:00:00,58.6,59.8,58.07,59.37,32146698
160,2020-08-21T00:00:00,59.97,60.3,59.07,59.23,19035208
161,2020-08-24T00:00:00,59.3,59.6,58.73,58.9,9740352
162,2020-08-25T00:00:00,58.9,59.37,58.4,58.87,19552892
163,2020-08-26T00:00:00,59.2,59.23,58.4,58.6,16122996
164,2020-08-27T00:00:00,58.77,58.93,58.03,58.13,15445049
165,2020-08-28T00:00:00,58.53,59.33,58.27,58.53,17611779
166,2020-08-31T00:00:00,59.0,61.17,56.9,57.2,70850231
167,2020-09-01T00:00:00,57.2,57.73,55.67,56.43,27777356
168,2020-09-02T00:00:00,56.93,57.1,56.37,56.87,12523696
169,2020-09-03T00:00:00,57.13,57.7,56.3,56.73,14027426
170,2020-09-04T00:00:00,56.0,56.57,55.17,55.93,12703543
171,2020-09-07T00:00:00,56.33,56.63,54.53,55.87,14902298
172,2020-09-08T00:00:00,55.97,56.27,55.03,55.17,16168962
173,2020-09-09T00:00:00,55.13,55.23,52.87,53.7,24388612
174,2020-09-10T00:00:00,53.8,55.97,53.8,55.7,29432278
175,2020-09-11T00:00:00,55.53,56.0,54.7,55.4,17860255
176,2020-09-14T00:00:00,55.47,55.87,54.9,55.13,11874116
177,2020-09-15T00:00:00,55.13,55.6,54.53,54.83,11709315
178,2020-09-16T00:00:00,54.83,55.37,54.3,55.13,12791146
179,2020-09-17T00:00:00,54.93,55.2,54.27,54.53,12883226
180,2020-09-18T00:00:00,55.07,55.23,53.5,53.8,21035497
181,2020-09-21T00:00:00,53.87,54.0,51.33,51.8,22523202
182,2020-09-22T00:00:00,52.07,52.27,50.27,50.77,20539323
183,2020-09-23T00:00:00,51.0,51.47,50.23,50.63,19123948
184,2020-09-24T00:00:00,50.0,50.13,47.77,48.0,24558526
185,2020-09-25T00:00:00,48.23,49.6,47.9,49.4,24753598
186,2020-09-28T00:00:00,50.0,51.07,49.53,50.43,16096156
187,2020-09-29T00:00:00,50.67,50.83,49.37,49.9,14878350
188,2020-09-30T00:00:00,49.9,50.3,48.67,49.27,18970112
